key,displayName,englishName,scientificName,scientificNameAliases,originCountry,idealTemperatureRange,idealHumidityRange,wateringIntervalDays,lightRequirement,careDifficulty,careMemo,status,lightStars,difficultyStars
monstera_deliciosa,モンステラ,Monstera,Monstera deliciosa,,中央アメリカ（メキシコ〜パナマ）,18〜30℃,50〜60%,7,bright_indirect,easy,土の表面が乾いたらたっぷり水やりを。夏は週1回・冬は2週に1回程度に減らす。直射日光は葉焼けの原因になるためレースカーテン越しの明るい場所に置く。葉が黄色くなるのは水のやりすぎ・茶色く縮れるのは乾燥や光不足のサイン。猫・犬には毒性があるため誤食に注意。,既存,3,2
epipremnum_aureum,ポトス,Pothos,Epipremnum aureum,,フランス領ポリネシア（ソロモン諸島原産）,18〜30℃,40〜60%,7,bright_indirect,easy,乾燥に強く土が乾いてから水やりでOK。夏は週1回・冬は2〜3週に1回で十分。耐陰性が高いが斑入り品種は明るい場所の方が模様が鮮やかに出る。葉がしおれるのは水切れ・根元が黒ずむのは過湿による根腐れのサイン。猫・犬には毒性があるため誤食に注意。,既存,2,1
alocasia,アロカシア,Alocasia Amazonica,Alocasia × amazonica,Alocasia amazonica,東南アジア熱帯地域,20〜28℃,60%以上,5,bright_indirect,medium,乾燥と冷えに弱く土が乾く前に水やりするのが理想。冬は室温15℃以上を保ち水やり頻度は控えめにする。急激な環境変化やエアコンの風で葉が傷みやすいので置き場所を固定する。葉先が茶色くなるのは乾燥・湿度不足のサイン。猫・犬には毒性があるため誤食に注意。,既存,3,3
sansevieria,サンスベリア,Snake Plant,Dracaena trifasciata,Sansevieria trifasciata,西アフリカ（ナイジェリア・コンゴ等）,15〜30℃,30〜50%,14,low_light,easy,乾燥に非常に強く土が完全に乾いてから水やりでOK（夏は月1〜2回・冬は月1回以下）。水のやりすぎによる根腐れが最大の失敗要因。暗い場所でも育つが成長を促したい場合は明るい室内に置く。葉が柔らかくしなだれてきたら根腐れのサイン。猫・犬には軽度の毒性があるため注意。,既存,1,1
anthurium,アンスリウム,Anthurium,Anthurium andraeanum,,中南米（コロンビア・エクアドル）,20〜28℃,60〜70%,6,bright_indirect,medium,高湿度を好むため土の表面が乾いたらたっぷり水やりし葉水も定期的に与える。直射日光は避け明るい日陰で管理する。葉先が茶色くなるのは乾燥・水道水のミネラル過多のサイン。花が減ってきたら液肥を追加すると良い。猫・犬には毒性があるため誤食に注意。,既存,3,3
pachira,パキラ,Money Tree,Pachira aquatica,,中南米（メキシコ〜ブラジル）,15〜30℃,40〜60%,7,bright_indirect,easy,生命力が強く乾燥にも比較的強いが土が乾いたらたっぷり水やりする。冬は休眠期に入るため水やり頻度を大きく減らす。徒長しやすいので明るい場所で管理し伸びすぎたら剪定して樹形を整える。幹がぶよぶよ柔らかくなるのは根腐れのサイン。ペットに対しては比較的安全とされる。,既存,3,1
philodendron,フィロデンドロン,Philodendron,Philodendron hederaceum,,中南米熱帯地域,18〜28℃,50〜60%,7,bright_indirect,easy,つる性で成長が早く土の表面が乾いたら水やりする。明るい日陰を好むが耐陰性もあり多少暗い場所でも育つ。伸びすぎた茎は定期的に剪定し切り戻すことで株元がボリュームアップする。葉が小さくなるのは光不足のサイン。猫・犬には毒性があるため誤食に注意。,既存,2,2
ficus,ゴムの木,Rubber Plant,Ficus elastica,,インド・東南アジア,15〜28℃,40〜60%,8,bright_indirect,easy,丈夫で乾燥にも比較的強く土が乾いたらたっぷり水やりする。葉が大きくほこりが溜まりやすいので濡れ布巾で定期的に拭き取ると光合成効率が上がる。急な環境変化で葉を落とすことがあるため置き場所は固定する。樹液に触れるとかぶれることがあるため手入れ時は注意。ペットが樹液に触れると軽い刺激を起こすことがある。,既存,3,2
zamioculcas,ザミオクルカス,ZZ Plant,Zamioculcas zamiifolia,,東アフリカ（タンザニア等）,15〜30℃,30〜50%,14,low_light,easy,乾燥にとても強く土が完全に乾いてから水やりする（夏は2〜3週に1回・冬は月1回程度）。暗い場所でも育つが過湿には非常に弱く水のやりすぎが枯れる最大の原因。葉が黄色く透明感を帯びてきたら根腐れのサイン。猫・犬には毒性があるため誤食に注意。,既存,1,1
succulent,多肉植物,Echeveria,Echeveria elegans,,メキシコ,10〜28℃,30〜50%,14,bright_direct,easy,日当たりの良い場所で管理し土が完全に乾いてから水やりする（夏は2週に1回・冬は月1回程度）。徒長（間延び）は光不足のサインなのでなるべく屋外や明るい窓際で管理する。葉がしわしわになるのは水切れ・透明で柔らかくなるのは根腐れのサイン。ペットに対しては比較的安全とされる。,既存,5,2
monstera_adansonii,モンステラ・アダンソニー,Swiss Cheese Vine,Monstera adansonii,,中南米熱帯地域,18〜28℃,50〜60%,7,bright_indirect,easy,つる性で穴あき葉が特徴。土の表面が乾いたら水やりし支柱やハンギングで育てると見栄えが良い。成長が早いので伸びすぎたら剪定して形を整える。葉に穴が開かず育つのは光量不足のサイン。猫・犬には毒性があるため誤食に注意。,既存,3,2
haworthia,ハオルチア,Haworthia,Haworthia cooperi,,南アフリカ,10〜28℃,30〜50%,14,bright_indirect,easy,直射日光より明るい日陰を好む多肉植物。土が完全に乾いてから水やりする（夏は2週に1回・冬は月1回程度）。葉が茶色く透明になるのは水のやりすぎ・白っぽく変色するのは強い直射日光による葉焼けのサイン。ペットに対しては比較的安全とされる。,既存,2,1
crassula_ovata,カネノナルキ,Jade Plant,Crassula ovata,,南アフリカ,10〜28℃,30〜50%,14,bright_direct,easy,多肉質の葉に水を蓄えるため水やりは控えめにし土が完全に乾いてから与える。日当たりの良い場所を好み光が不足すると徒長しやすい。葉がぶよぶよと柔らかくなるのは根腐れのサイン。猫・犬には軽度の毒性があるため誤食に注意。,既存,4,1
dracaena_fragrans,ドラセナ（幸福の木）,Dracaena,Dracaena fragrans,,熱帯アフリカ,18〜28℃,40〜60%,8,bright_indirect,easy,耐陰性があり育てやすい定番の観葉植物。土の表面が乾いたら水やりし冬は頻度を減らす。フッ素に敏感で葉先が茶色くなることがあるため水道水は数日汲み置きしてから使うと良い。猫・犬には毒性があるため誤食に注意。,既存,3,2
dracaena_marginata,ドラセナ・マルギナータ,Dragon Tree,Dracaena marginata,,マダガスカル,18〜28℃,40〜60%,8,bright_indirect,easy,細い葉が特徴で乾燥気味の管理を好む。土の表面が乾いてから2〜3日後に水やりするくらいがちょうど良い。明るい日陰〜やや暗い場所でも育つが光不足だと葉のハリがなくなる。猫・犬には毒性があるため誤食に注意。,既存,3,2
spathiphyllum,スパティフィラム,Peace Lily,Spathiphyllum wallisii,,中南米熱帯地域,18〜28℃,50〜60%,5,low_light,easy,水切れすると葉が垂れるが水やり後すぐ復活しやすいのが特徴。低光量にも耐えるが花を咲かせたい場合は明るい日陰に置く。葉先が茶色くなるのは水道水のミネラルや乾燥した空気が原因のことが多い。猫・犬には毒性があるため誤食に注意。,既存,2,2
chamaedorea_elegans,テーブルヤシ,Parlor Palm,Chamaedorea elegans,,メキシコ・グアテマラ,15〜28℃,40〜60%,7,low_light,easy,耐陰性が高く室内向き。土の表面が乾いたら水やりし乾燥する時期は葉水を与えると葉先の枯れを防げる。エアコンの風が直接当たる場所は避ける。葉先が茶色くパリパリになるのは空気の乾燥のサイン。ペットに対しては安全とされる。,既存,1,2
areca_palm,アレカヤシ,Areca Palm,Dypsis lutescens,Chrysalidocarpus lutescens,マダガスカル,18〜28℃,50〜70%,6,bright_indirect,medium,高湿度を好むため土が乾いたらたっぷり水やりし乾燥する季節は葉水を頻繁に与える。明るい日陰で管理し直射日光での葉焼けに注意する。葉先が茶色くなるのは湿度不足か水切れのサイン。ペットに対しては安全とされる。,既存,3,3
calathea,カラテア,Calathea,Calathea orbifolia,,中南米（ブラジル等）,18〜25℃,60%以上,5,low_light,hard,乾燥・直射日光に弱くやや管理が難しい。土を乾かしすぎず葉水と高湿度（60%以上目安）を保つ。水道水の塩素やミネラルに敏感で葉先が茶色くなりやすいためできれば汲み置き水や浄水を使う。夜になると葉を立てて閉じるのが正常な動き。ペットに対しては安全とされる。,既存,2,5
maranta,マランタ,Prayer Plant,Maranta leuconeura,,ブラジル,18〜25℃,60%以上,5,low_light,medium,夜になると葉を閉じる習性がある。乾燥に弱いので土を乾かしすぎず高湿度を保つ。直射日光は葉焼けの原因になるため明るい日陰で管理する。葉が丸まってくるのは乾燥・水切れのサイン。ペットに対しては安全とされる。,既存,2,3
